tour_id|tour_user_id|tour_name|tour_description|tour_note|tour_includes|tour_not_includes|tour_starter_point|URL|tour_price|tour_price_note|tour_child_price|tour_viality_from|tour_viality_to|tour_created_at|tour_update_at|tour_days|tour_nights|tour_state|tour_hounsing_type|tour_country_id|tour_housing_name|tour_stock|tour_commision|tour_in_home|tour_is_canatour|tour_blocked|tour_adult_foreigner_price|tour_child_foreigner_price|tour_purchase_time|tour_min_passenger|tour_published_on|tour_name_en|tour_translation_mode|tour_list_price|tour_duration_in_hours|tour_language|tour_start_time|tour_cancellation_policy|tour_reservations_count|tour_city|name of tour operator|tour_distribution|pago nulo|pago aprobado|pago expirado|pago extornado|pago no procesado|pago pendiente|por pagar
1 |3 |Full Day a Valparaiso y Viña del Mar |<p>Viña del Mar conocida tradicionalmente como Ciudad Jardín, perteneciente a la&nbsp;provincia&nbsp;y&nbsp;Región de Valparaíso, Viña del Mar se ha destacado por sus plácidos balnearios, grandes centros comerciales, costaneras con altas edificaciones, hoteles y variados lugares de entretenimiento, consolidándose como una de las capitales turísticas del país.</p> | |<ul><li>Recogida y traslado de regreso al hotel</li><li>Guía en Español, Ingles o Portugues durante toda la visita</li><li>Transporte en Auto o minibús</li></ul> |<ul><li>Entradas</li><li>Comidas y bebidas</li><li>Propinas opcionales para guía y conductor.</li></ul> |Hecha la reserva le comunicaremos el punto de encuentro más cercano a su hotel |full-day-a-valparaiso-y-vina-del-mar |40000 | |40000 |2016-02-01 |2019-12-31 |2016-02-26 15:55:38 |2018-11-21 09:48:56 |1 |0 |unpublished |NULL |NULL |NULL |0 |25 |1 |0 |0 |35000 |30000 |NULL |2 |NULL |Full Day to Valparaiso and Viña del Mar |auto |40000 |NULL |Español |08:00 |100p-7days |0 |Valparaíso |Nova Tours |Turismoi - E-Comerce |0 |0 |0 |0 |0 |0 |0
2 |3 |Tour Al Valle de la Luna |El&nbsp;<b>valle de la Luna</b>&nbsp;es un paraje desértico y punto de atracción turística, ubicado al oeste de&nbsp;San Pedro de Atacama, perteneciente a la&nbsp;Región de Antofagasta. En&nbsp;1982&nbsp;fue declarado santuario de la naturaleza y es parte de la&nbsp;reserva nacional Los Flamencos. | |<ul><li>Recogida y traslado de regreso al hotel</li><li>Guía en Español, Ingles o Portugues durante toda la visita</li></ul> |<ul><li>Entradas</li><li>Comidas y bebidas</li></ul> |Hecha la reserva le comunicaremos el punto de encuentro más cercano a su hotel |tour-al-valle-de-la-luna |20000 | |20000 |2016-02-01 |2019-12-31 |2016-02-26 16:33:30 |2018-11-21 09:48:59 |1 |0 |unpublished |NULL |NULL |NULL |0 |25 |1 |0 |0 |20000 |20000 |NULL |1 |NULL |Tour to the Valley of the Moon |auto |20000 |NULL |Español |14:00 |100p-7days |0 |Antofagasta |Nova Tours |Turismoi - E-Comerce |0 |0 |0 |0 |0 |0 |0
3 |2 |Full Day en la Isla de Pascua |<u></u><b>Isla de Pascua&nbsp;</b>es una&nbsp;isla&nbsp;ubicada en la&nbsp;Polinesia, en medio del&nbsp;océano Pacífico&nbsp;a 3700&nbsp;km de&nbsp;Caldera.&nbsp;Tiene una superficie de 163,6&nbsp;km², lo que la convierte en la mayor de las islas del&nbsp;Chile insular, y una población de 5035&nbsp;habitantes, concentrados principalmente en&nbsp;Hanga Roa, capital y único poblado existente en la isla. La tierra habitada más cercana es el&nbsp;territorio británico de las Islas Pitcairn.<p>La isla es uno de los principales destinos turísticos debido a su belleza natural y su misteriosa cultura ancestral de la etnia&nbsp;rapanui, cuyo más notable vestigio corresponde a enormes estatuas conocidas comomoái.</p> | |<ul><li>Recogida y traslado de regreso al hotel</li><li>Guía durante toda la visita</li></ul> |<ul><li>Entradas</li><li>Comidas y bebidas</li><li>Propinas opcionales para guía y conductor.</li></ul> |Indíquenos en que lugar se encuentra para poder recogerlo. |full-day-en-la-isla-de-pascua |60000 | |60000 |2019-03-15 |2019-07-31 |2016-02-26 17:52:34 |2019-03-18 09:22:50 |1 |0 |unpublished |NULL |NULL |NULL |0 |25 |1 |0 |0 |60000 |60000 |0 |1 |NULL |Full Day on Easter Island |auto |60000 |NULL |Español |09:00 |100p-7days |0 |Valparaíso |Chile Adventure |Turismoi - E-Comerce |0 |0 |0 |0 |0 |0 |0
4 |2 |Full Day en Puyehue, Animales, Aguas Termales y Paisajes |<p><b>Puyehue</b>,&nbsp;originalmente llamado&nbsp;<b>Villa de Entre Lagos</b>, una importante parte del territorio se encuentra dentro del&nbsp;Parque Nacional, este parque, junto a otros ubicados en Los Lagos y&nbsp;Los Ríos, son parte de los&nbsp;Bosques Templados Lluviosos de los Andes Australes, un&nbsp;área protegida&nbsp;declarada&nbsp;reserva de la biosfera&nbsp;por la&nbsp;Unesco.</p><p>Es un paraíso natural y una excelente oportunidad para disfrutar sus vacaciones, si está en búsqueda de una experiencia muy profunda con la naturaleza, entonces este tour es perfecto; incluye impresionantes vistas de zonas vírgenes y algunos de los lagos más bellos del mundo,<br></p> | |<ul><li>Recogida y traslado de regreso al hotel</li><li>Guía durante toda la visita</li><li>Transporte en Auto, minibús o Bus</li></ul> |<ul><li>Entrada a los Saltos del Petrohue</li><li>Comidas y bebidas</li><li>Propinas opcionales para guía y conductor.</li></ul> |Cerca a&nbsp;Puerto Varas o Puerto Montt |full-day-en-puyehue-animales-aguas-termales-y-paisajes |80000 | |70000 |2016-02-04 |2019-12-31 |2016-02-29 10:39:50 |2018-11-21 09:49:07 |1 |0 |unpublished |NULL |NULL |NULL |0 |25 |0 |0 |0 |80000 |70000 |NULL |2 |NULL |Full Day in Puyehue, Animals, Hot Springs and Landscapes |auto |80000 |NULL |Español |08:00 |100p-7days |0 |De Los Lagos |Chile Adventure |Turismoi - E-Comerce |0 |0 |0 |0 |0 |0 |0
5 |1 |Tour Al Volcan Osorno |Este&nbsp;volcán, de nombre nativo&nbsp;huilliche&nbsp;<b>Peripillán</b>, debe su actual nombre debido a que se indica que era visible para los fundadores españoles desde la relativamente cercana ciudad de&nbsp;Osorno<span>.<br></span><br>Tiene una altitud de 2652 metros y su imponente rasgo cónico, se levanta majestuoso al lado opuesto de la ciudad de Llanquihue y&nbsp;Frutillar, de la cual, sólo las transparentes aguas del&nbsp;Lago Llanquihue&nbsp;lo separan. Su inactividad volcánica se prolonga ya por más de un siglo y cuarto. En sus faldeos existen refugios que permiten en el invierno la práctica del&nbsp;esquí&nbsp;y los deportes blancos. En verano, con el derretimiento de la nieve, reaparecen las fisras volcánicas que hacen del&nbsp;excursionismo&nbsp;un peligroso deporte, si no se toman en cuenta todas las condiciones necesarias para la práctica de esta disciplina. | |<ul><li>Recogida y traslado de regreso al hotel</li><li>Transporte en Auto o minibús</li></ul> |<ul><li>Entradas</li><li>Comidas y bebidas</li><li>Propinas opcionales para guía y conductor.</li></ul> |Puerto de Varas |tour-al-volcan-osorno |40000 | |40000 |2016-02-02 |2019-12-31 |2016-02-29 11:20:39 |2018-11-21 09:49:10 |1 |0 |unpublished |NULL |NULL |NULL |0 |25 |0 |0 |0 |40000 |40000 |NULL |1 |NULL |Osorno Volcano Tour |auto |40000 |NULL |Español |09:00 |100p-7days |0 |De Los Lagos |Terra Tours |Turismoi - E-Comerce |0 |0 |0 |0 |0 |0 |0
6 |1 |Maravillo Tour Frutillar Llanquihue |Frutillar se caracteriza por la belleza de su paisaje, las tradiciones&nbsp;alemanas&nbsp;de sus fundadores y las&nbsp;Semanas Musicales de Frutillar. Es conocida como la "Ciudad de la Música". | |<ul><li>Recogida y traslado de regreso al hotel</li><li>Guía bilingüe</li></ul> |<ul><li>Entradas</li><li>Comidas y bebidas</li><li>Propinas opcionales pa</li></ul> |Puerto Varas |maravillo-tour-frutillar-llanquihue |80000 | |80000 |2016-02-09 |2019-12-31 |2016-02-29 14:12:20 |2018-11-21 09:49:13 |1 |0 |unpublished |NULL |NULL |NULL |0 |25 |0 |0 |0 |80000 |80000 |NULL |2 |NULL |Maravillo Tour Frutillar Llanquihue |auto |80000 |NULL |Español |09:00 |100p-7days |0 |De Los Lagos |Terra Tours |Turismoi - E-Comerce |0 |0 |0 |0 |0 |0 |0
7 |6 |Conociendo Santiago y Valparaíso |¿Tienes unos días libres y quieres conocer la capital de Chile? Este es el viaje ideal para tí!<br>Además de poder disfrutar de Santiago, una ciudad cosmopolita y a la vez con muchos lugares de interés histórico, podrás visitar la ciudad de Valparaíso, un lugar que sorprende tanto por su puerto como por la inusual arquitectura que nos encontramos.<br> | |- Traslados aeropuerto - hotel - aeropuerto<br>- Traslados autobus entre ciudades<br>- Tour en barco en el puerto de Valparaíso<br>- Guía del viaje<br>- Desayuno buffet<br>- Tres noches de hotel 4 estrellas en Santiago<br> |- Avión<br>- Comidas<br>- Propinas<br> |Recogida en el Aeropuerto de Santiago y traslado al hotel.<br> |conociendo-santiago-y-valparaiso |250000 |Varía según fechas y disponibilidad |250000 |2016-03-04 |2019-12-31 |2016-03-04 09:51:16 |2018-11-21 09:49:20 |4 |3 |unpublished |hotel-4-estrellas |NULL |Time Select |0 |25 |1 |0 |0 |250000 |250000 |NULL |2 |NULL |Knowing Santiago and Valparaíso |auto |250000 |NULL |Español |08:00 |100p-7days |0 |Metropolitana De Santiago |Tourandina |Turismoi - E-Comerce |0 |0 |0 |0 |0 |0 |0
8 |6 |La Serena, Coquimbo y Valle del Elqui |Conoce La Serena y Coquimbo disfrutando de su historia, su conservada  arquitectura neocolonial y una gran belleza natural. Acompáñanos y disfruta  de un paseo de día completo al mágico, sorprendente y cálido Valle del  Elqui.<br> | |- Traslados aeropuerto-hotel-aeropuerto<br>- Traslados autobus entre ciudades<br>- Entrada observatorio Mamalluca<br>- Un almuerzo en restaurante típico<br>- Degustación de licores<br>- Desayuno buffet<br>- Dos noches de hotel en La Serena<br>- Guía turístico<br> |- Avión <br>- Comidas<br> |Recogida en el aeropuerto.<br> |la-serena-coquimbo-y-valle-del-elqui |243000 |Varía según fechas y disponibilidad. |243000 |2016-03-08 |2019-12-31 |2016-03-07 04:47:49 |2018-11-21 09:49:26 |3 |2 |unpublished |hotel-4-estrellas |NULL |Hotel Club La Serena |0 |25 |0 |0 |0 |243000 |243000 |NULL |2 |NULL |La Serena, Coquimbo and Valle del Elqui |auto |243000 |NULL |Español |08:00 |100p-7days |0 |Coquimbo |Tourandina |Turismoi - E-Comerce |0 |0 |0 |0 |0 |0 |0
9 |7 |San Pedro de Atacama y Ruta de los Flamencos |En sólo tres dias, podrás visitar el maravilloso Valle de la Luna, la Reserva Nacional de Los Flamencos y los increíbles Geysers del Tatío.<br> | |- Todos los traslados, excepto los traslados desde y hacia el Aeropuerto entre las 21:00h y las 07:00h que deben pagar un coste adicional).<br>- Guía turístico en español e inglés.<br>- Desayunos.<br>- Excursiones señaladas en el itinerario.<br>- 2 noches de alojamiento en el hotel seleccionado.<br> |- Entradas a los parques. Las entradas deben ser adquiridas directamente en San Pedro de Atacama.<br>- Pasajes aéreos.<br>- Comidas.<br> |Recogida en el aeropuerto de Calama a la hora acordada.<br> |san-pedro-de-atacama-y-ruta-de-los-flamencos |239000 |Varía según fechas y disponibilidad. |239000 |2016-03-07 |2019-12-31 |2016-03-07 11:46:21 |2018-11-21 09:49:34 |3 |2 |unpublished |hotel-3-estrellas |NULL |Hotel La Casa de Don Tomás |0 |25 |0 |0 |0 |239000 |239000 |NULL |2 |NULL |San Pedro de Atacama and Route of the Flamingos |auto |239000 |NULL |Español |08:00 |100p-7days |0 |Antofagasta |Atacama Tours |Turismoi - E-Comerce |0 |0 |0 |0 |0 |0 |0
10 |7 |Rafting Río Futaleufú |Anímate a probar el rafting en una de las secciones más populares y entretenidas del Río Futaleufú, en Carretera Austral.  No es necesario tener experiencia previa para aprovechar estas aguas de  gran volumen ya que los rápidos, de niveles III, IV y IV+, se  encuentran entre dos puentes, haciéndolo una experiencia perfecta para  principiantes. <br> |Te recomendamos traer:<br>- Gafas de sol con filtro UV<br>- Traje de baño<br>- Protector solar<br>- Toalla<br><br> |- Transporte ida y vuelta para la excursión<br>- Seguro contra accidentes<br>- Equipo completo: traje de neopreno, casco, chaleco salvavidas, escarpines, cortaviento<br>- Botiquín de primeros auxilios<br>- Snack<br>- Cataraft y kayak de seguridad<br> | |&nbsp;Recogida en la comuna de Futaleufú. Lugar pendiente de confirmar.<br><br> |rafting-rio-futaleufu |120000 | |120000 |2016-03-07 |2019-12-31 |2016-03-07 13:18:00 |2016-03-07 13:27:50 |1 |0 |unpublished |NULL |NULL |NULL |0 |25 |0 |0 |0 |120000 |120000 |NULL |4 |NULL |NULL |NULL |120000 |NULL |Español |08:00 |100p-7days |0 |De Los Ríos |Atacama Tours |Turismoi - E-Comerce |0 |0 |0 |0 |0 |0 |0
