tour_id|tour_user_id|tour_name|tour_description|tour_starter_point|URL|tour_price|tour_child_price|tour_viality_from|tour_viality_to|tour_created_at|tour_update_at|tour_days|tour_nights|tour_state|tour_hounsing_type|tour_country_id|tour_housing_name|tour_stock|tour_commision|tour_in_home|tour_is_canatour|tour_blocked|tour_adult_foreigner_price|tour_child_foreigner_price|tour_purchase_time|tour_min_passenger|tour_published_on|tour_name_en|tour_translation_mode|tour_list_price|tour_duration_in_hours|tour_language|tour_start_time|tour_cancellation_policy|tour_reservations_count|tour_city|name of tour operator|tour_distribution|pago nulo|pago aprobado|pago expirado|pago extornado|pago no procesado|pago pendiente|por pagar
1 |3 |Full Day a Valparaiso y Viña del Mar | Viña del Mar conocida tradicionalmente como Ciudad Jardín, perteneciente a la provincia y Región de Valparaíso, Viña del Mar se ha destacado por sus plácidos balnearios, grandes centros comerciales, costaneras con altas edificaciones, hoteles y variados lugares de entretenimiento, consolidándose como una de las capitales turísticas del país.  |Hecha la reserva le comunicaremos el punto de encuentro más cercano a su hotel |full-day-a-valparaiso-y-vina-del-mar |40000 |40000 |2016-02-01 |2019-12-31 |2016-02-26 15:55:38 |2018-11-21 09:48:56 |1 |0 |unpublished |NULL |NULL |NULL |0 |25 |1 |0 |0 |35000 |30000 |NULL |2 |NULL |Full Day to Valparaiso and Viña del Mar |auto |40000 |NULL |Español |08:00 |100p-7days |0 |Valparaíso |Nova Tours |Turismoi - E-Comerce |0 |0 |0 |0 |0 |0 |0
2 |3 |Tour Al Valle de la Luna |El  valle de la Luna  es un paraje desértico y punto de atracción turística, ubicado al oeste de San Pedro de Atacama, perteneciente a la Región de Antofagasta. En 1982 fue declarado santuario de la naturaleza y es parte de la reserva nacional Los Flamencos. |Hecha la reserva le comunicaremos el punto de encuentro más cercano a su hotel |tour-al-valle-de-la-luna |20000 |20000 |2016-02-01 |2019-12-31 |2016-02-26 16:33:30 |2018-11-21 09:48:59 |1 |0 |unpublished |NULL |NULL |NULL |0 |25 |1 |0 |0 |20000 |20000 |NULL |1 |NULL |Tour to the Valley of the Moon |auto |20000 |NULL |Español |14:00 |100p-7days |0 |Antofagasta |Nova Tours |Turismoi - E-Comerce |0 |0 |0 |0 |0 |0 |0
3 |2 |Full Day en la Isla de Pascua |   Isla de Pascua  es una isla ubicada en la Polinesia, en medio del océano Pacífico a 3700 km de Caldera. Tiene una superficie de 163,6 km², lo que la convierte en la mayor de las islas del Chile insular, y una población de 5035 habitantes, concentrados principalmente en Hanga Roa, capital y único poblado existente en la isla. La tierra habitada más cercana es el territorio británico de las Islas Pitcairn. La isla es uno de los principales destinos turísticos debido a su belleza natural y su misteriosa cultura ancestral de la etnia rapanui, cuyo más notable vestigio corresponde a enormes estatuas conocidas comomoái.  |Indíquenos en que lugar se encuentra para poder recogerlo. |full-day-en-la-isla-de-pascua |60000 |60000 |2019-03-15 |2019-07-31 |2016-02-26 17:52:34 |2019-03-18 09:22:50 |1 |0 |unpublished |NULL |NULL |NULL |0 |25 |1 |0 |0 |60000 |60000 |0 |1 |NULL |Full Day on Easter Island |auto |60000 |NULL |Español |09:00 |100p-7days |0 |Valparaíso |Chile Adventure |Turismoi - E-Comerce |0 |0 |0 |0 |0 |0 |0
4 |2 |Full Day en Puyehue, Animales, Aguas Termales y Paisajes |  Puyehue , originalmente llamado  Villa de Entre Lagos , una importante parte del territorio se encuentra dentro del Parque Nacional, este parque, junto a otros ubicados en Los Lagos y Los Ríos, son parte de los Bosques Templados Lluviosos de los Andes Australes, un área protegida declarada reserva de la biosfera por la Unesco.  Es un paraíso natural y una excelente oportunidad para disfrutar sus vacaciones, si está en búsqueda de una experiencia muy profunda con la naturaleza, entonces este tour es perfecto; incluye impresionantes vistas de zonas vírgenes y algunos de los lagos más bellos del mundo,   |Cerca a Puerto Varas o Puerto Montt |full-day-en-puyehue-animales-aguas-termales-y-paisajes |80000 |70000 |2016-02-04 |2019-12-31 |2016-02-29 10:39:50 |2018-11-21 09:49:07 |1 |0 |unpublished |NULL |NULL |NULL |0 |25 |0 |0 |0 |80000 |70000 |NULL |2 |NULL |Full Day in Puyehue, Animals, Hot Springs and Landscapes |auto |80000 |NULL |Español |08:00 |100p-7days |0 |De Los Lagos |Chile Adventure |Turismoi - E-Comerce |0 |0 |0 |0 |0 |0 |0
5 |1 |Tour Al Volcan Osorno |Este volcán, de nombre nativo huilliche  Peripillán , debe su actual nombre debido a que se indica que era visible para los fundadores españoles desde la relativamente cercana ciudad de Osorno .   Tiene una altitud de 2652 metros y su imponente rasgo cónico, se levanta majestuoso al lado opuesto de la ciudad de Llanquihue y Frutillar, de la cual, sólo las transparentes aguas del Lago Llanquihue lo separan. Su inactividad volcánica se prolonga ya por más de un siglo y cuarto. En sus faldeos existen refugios que permiten en el invierno la práctica del esquí y los deportes blancos. En verano, con el derretimiento de la nieve, reaparecen las fisras volcánicas que hacen del excursionismo un peligroso deporte, si no se toman en cuenta todas las condiciones necesarias para la práctica de esta disciplina. |Puerto de Varas |tour-al-volcan-osorno |40000 |40000 |2016-02-02 |2019-12-31 |2016-02-29 11:20:39 |2018-11-21 09:49:10 |1 |0 |unpublished |NULL |NULL |NULL |0 |25 |0 |0 |0 |40000 |40000 |NULL |1 |NULL |Osorno Volcano Tour |auto |40000 |NULL |Español |09:00 |100p-7days |0 |De Los Lagos |Terra Tours |Turismoi - E-Comerce |0 |0 |0 |0 |0 |0 |0
6 |1 |Maravillo Tour Frutillar Llanquihue |Frutillar se caracteriza por la belleza de su paisaje, las tradiciones alemanas de sus fundadores y las Semanas Musicales de Frutillar. Es conocida como la  Ciudad de la Música . |Puerto Varas |maravillo-tour-frutillar-llanquihue |80000 |80000 |2016-02-09 |2019-12-31 |2016-02-29 14:12:20 |2018-11-21 09:49:13 |1 |0 |unpublished |NULL |NULL |NULL |0 |25 |0 |0 |0 |80000 |80000 |NULL |2 |NULL |Maravillo Tour Frutillar Llanquihue |auto |80000 |NULL |Español |09:00 |100p-7days |0 |De Los Lagos |Terra Tours |Turismoi - E-Comerce |0 |0 |0 |0 |0 |0 |0
7 |6 |Conociendo Santiago y Valparaíso |¿Tienes unos días libres y quieres conocer la capital de Chile? Este es el viaje ideal para tí! Además de poder disfrutar de Santiago, una ciudad cosmopolita y a la vez con muchos lugares de interés histórico, podrás visitar la ciudad de Valparaíso, un lugar que sorprende tanto por su puerto como por la inusual arquitectura que nos encontramos.  |Recogida en el Aeropuerto de Santiago y traslado al hotel.  |conociendo-santiago-y-valparaiso |250000 |250000 |2016-03-04 |2019-12-31 |2016-03-04 09:51:16 |2018-11-21 09:49:20 |4 |3 |unpublished |hotel-4-estrellas |NULL |Time Select |0 |25 |1 |0 |0 |250000 |250000 |NULL |2 |NULL |Knowing Santiago and Valparaíso |auto |250000 |NULL |Español |08:00 |100p-7days |0 |Metropolitana De Santiago |Tourandina |Turismoi - E-Comerce |0 |0 |0 |0 |0 |0 |0
8 |6 |La Serena, Coquimbo y Valle del Elqui |Conoce La Serena y Coquimbo disfrutando de su historia, su conservada  arquitectura neocolonial y una gran belleza natural. Acompáñanos y disfruta  de un paseo de día completo al mágico, sorprendente y cálido Valle del  Elqui.  |Recogida en el aeropuerto.  |la-serena-coquimbo-y-valle-del-elqui |243000 |243000 |2016-03-08 |2019-12-31 |2016-03-07 04:47:49 |2018-11-21 09:49:26 |3 |2 |unpublished |hotel-4-estrellas |NULL |Hotel Club La Serena |0 |25 |0 |0 |0 |243000 |243000 |NULL |2 |NULL |La Serena, Coquimbo and Valle del Elqui |auto |243000 |NULL |Español |08:00 |100p-7days |0 |Coquimbo |Tourandina |Turismoi - E-Comerce |0 |0 |0 |0 |0 |0 |0
9 |7 |San Pedro de Atacama y Ruta de los Flamencos |En sólo tres dias, podrás visitar el maravilloso Valle de la Luna, la Reserva Nacional de Los Flamencos y los increíbles Geysers del Tatío.  |Recogida en el aeropuerto de Calama a la hora acordada.  |san-pedro-de-atacama-y-ruta-de-los-flamencos |239000 |239000 |2016-03-07 |2019-12-31 |2016-03-07 11:46:21 |2018-11-21 09:49:34 |3 |2 |unpublished |hotel-3-estrellas |NULL |Hotel La Casa de Don Tomás |0 |25 |0 |0 |0 |239000 |239000 |NULL |2 |NULL |San Pedro de Atacama and Route of the Flamingos |auto |239000 |NULL |Español |08:00 |100p-7days |0 |Antofagasta |Atacama Tours |Turismoi - E-Comerce |0 |0 |0 |0 |0 |0 |0
10 |7 |Rafting Río Futaleufú |Anímate a probar el rafting en una de las secciones más populares y entretenidas del Río Futaleufú, en Carretera Austral.  No es necesario tener experiencia previa para aprovechar estas aguas de  gran volumen ya que los rápidos, de niveles III, IV y IV+, se  encuentran entre dos puentes, haciéndolo una experiencia perfecta para  principiantes.   | Recogida en la comuna de Futaleufú. Lugar pendiente de confirmar.   |rafting-rio-futaleufu |120000 |120000 |2016-03-07 |2019-12-31 |2016-03-07 13:18:00 |2016-03-07 13:27:50 |1 |0 |unpublished |NULL |NULL |NULL |0 |25 |0 |0 |0 |120000 |120000 |NULL |4 |NULL |NULL |NULL |120000 |NULL |Español |08:00 |100p-7days |0 |De Los Ríos |Atacama Tours |Turismoi - E-Comerce |0 |0 |0 |0 |0 |0 |0
11 |8 |Torres del Paine |Programa con ticket aéreo dedicado exclusivamente a dos dias dentro del  Parque Nacional Torres del Paine. Opcionalmente podrán dedicar el día a  trekking, cabalgatas y más. Además, en el camino se podrán visitar las  pinguineras.  |Aeropuerto de Santiago.  |torres-del-paine |715000 |715000 |2016-10-01 |2019-12-31 |2016-03-08 05:16:58 |2018-11-21 09:49:40 |4 |3 |unpublished |hotel-3-estrellas |NULL |Hosteria Pehoe y Hotel Aqua Terra |0 |25 |1 |0 |0 |715000 |715000 |NULL |2 |NULL |Torres del Paine |auto |715000 |NULL |Español |08:00 |100p-7days |0 |Magallanes Y De La Antártica Chilena |Go Patagonia |Turismoi - E-Comerce |0 |0 |0 |0 |0 |0 |0
12 |8 |Full Day Tierra del Fuego (Parque Pinguino Rey) |Conoce la isla Tierra del Fuego, navega por el mitico Estrecho de  Magallanes, disfruta de la soledad de la pampa magallánica y,  finalmente, asómbrate con la belleza del imponente Pinguino Rey.  |Recogida en los alojamientos de Punta Arenas.  |full-day-tierra-del-fuego-parque-pinguino-rey |48000 |48000 |2016-03-01 |2019-12-31 |2016-03-08 05:57:09 |2020-01-06 10:08:23 |1 |0 |unpublished |NULL |NULL |NULL |0 |25 |1 |0 |1 |48000 |48000 |NULL |1 |2020-01-06 |Full Day Tierra del Fuego (King Pinguino Park) |auto |48000 |NULL |Español |08:00 |100p-7days |0 |Magallanes Y De La Antártica Chilena |Go Patagonia |Turismoi - E-Comerce |0 |0 |0 |0 |0 |0 |0
13 |9 |Viña Santa Cruz y Paseo en Teleférico |  En el año 2003 el grupo de Empresas Cardoen da vida a Viña Santa Cruz, un proyecto pionero en turismo en el valle de Lolol, pueblo inmerso en el prestigioso valle de Colchagua, sexta región de Chile.   Hoy con más de 150 hectáreas en plena producción dan vida a nuestras líneas de vinos Chamán Reserva, Chamán Gran Reserva, Make Make, Tupu y Santa Cruz, los cuales junto a nuestras aldeas pre colombinas, museos, teleférico, restaurant y más... dan vida a un destino saludable y familiar abierto todos los días del año al turismo Enológico.    |  No incluye traslado.   Viña Santa Cruz.   |vina-santa-cruz-y-paseo-en-teleferico |20000 |9000 |2016-03-21 |2020-12-30 |2016-03-20 18:27:00 |2019-12-23 16:22:34 |1 |0 |unpublished |NULL |NULL |NULL |0 |25 |0 |0 |1 |19000 |9000 |24 |1 |2019-10-23 |Santa Cruz Vineyard and Cable Car Ride |auto |20000 |2 |Español,Inglés |10:00 |100p-7days |0 |Del Libertador Gral. Bernardo O'Higgins |Turismo Cumbre Andina |Turismoi - E-Comerce |0 |0 |0 |0 |0 |0 |0
