CONCAT(pck.id, '|')	CONCAT(plz.name, '|')
1|	Bolívar|
1|	Cartagena de Indias|
2|	Archipiélago De San Andrés, Providencia Y Santa Catalina|
2|	San Andrés|
3|	Bolívar|
3|	Cartagena de Indias|
8|	Archipiélago De San Andrés, Providencia Y Santa Catalina|
8|	San Andrés|
9|	Atlántico|
9|	Barranquilla|
10|	Atlántico|
10|	Barranquilla|
11|	Bogotá|
11|	Bogotá D.C.|
12|	Bolívar|
12|	Cartagena de Indias|
13|	Bogotá|
13|	Bogotá D.C.|
14|	Bolívar|
14|	Cartagena de Indias|
15|	Bogotá|
15|	Bogotá D.C.|
16|	Bolívar|
16|	Cartagena de Indias|
17|	Cundinamarca|
17|	Zipaquirá|
18|	Bogotá|
18|	Bogotá D.C.|
18|	Cundinamarca|
18|	Zipaquirá|
19|	Meta|
19|	Villavicencio|
21|	Quindio|
21|	Armenia|
21|	Calarca|
22|	Valle Del Cauca|
22|	Cali|
23|	Magdalena|
23|	Santa Marta|
24|	Bogotá|
24|	Bogotá D.C.|
24|	Boyacá|
24|	Magdalena|
24|	Jenesano|
24|	Cerro San Antonio|
25|	Bogotá|
25|	Bogotá D.C.|
25|	Choco|
25|	Cantón De San Pablo|
26|	Bogotá|
26|	Bogotá D.C.|
27|	Bogotá|
27|	Bogotá D.C.|
28|	Sucre|
28|	Sincelejo|
29|	Antioquía|
29|	Jericó|
30|	Magdalena|
30|	Santa Marta|
31|	Bogotá|
31|	Bogotá D.C.|
32|	Valle Del Cauca|
32|	Florida|
33|	Archipiélago De San Andrés, Providencia Y Santa Catalina|
33|	San Andrés|
34|	Bolívar|
34|	Cartagena de Indias|
35|	Magdalena|
35|	Santa Marta|
36|	Archipiélago De San Andrés, Providencia Y Santa Catalina|
36|	San Andrés|
37|	Archipiélago De San Andrés, Providencia Y Santa Catalina|
37|	San Andrés|
38|	Magdalena|
38|	Santa Marta|
39|	Magdalena|
39|	Santa Marta|
40|	Caldas|
40|	Manizales|
40|	Quindio|
40|	Armenia|
40|	Risaralda|
40|	Pereira|
40|	Valle Del Cauca|
40|	Cali|
41|	Archipiélago De San Andrés, Providencia Y Santa Catalina|
41|	San Andrés|
42|	Quindio|
42|	Calarca|
43|	Quindio|
43|	Valle Del Cauca|
43|	Cali|
43|	Salento|
44|	Antioquía|
44|	Medellín|
45|	Bolívar|
45|	Cartagena de Indias|
46|	Cundinamarca|
46|	Girardot|
47|	Antioquía|
47|	Medellín|
48|	Valle Del Cauca|
48|	Buga|
49|	Tolima|
49|	Melgar|
50|	Cundinamarca|
50|	Choachí|
51|	La Guajira|
51|	Riohacha|
52|	Meta|
52|	La Macarena|
53|	Magdalena|
53|	Santa Marta|
57|	Bolívar|
57|	Cartagena de Indias|
58|	Antioquía|
58|	Medellín|
59|	Archipiélago De San Andrés, Providencia Y Santa Catalina|
59|	San Andrés|
60|	Bolívar|
60|	Margarita|
61|	Bolívar|
61|	Cartagena de Indias|
62|	Magdalena|
62|	Santa Marta|
63|	Antioquía|
63|	Medellín|
63|	San Francisco|
64|	Archipiélago De San Andrés, Providencia Y Santa Catalina|
64|	San Andrés|
