CONCAT(pck.id, '|')	CONCAT(plz.name, '|')
1137|	Pichincha|
1137|	Quito |
1138|	Pichincha|
1138|	Quito |
1139|	Pichincha|
1139|	Quito |
1140|	Manabí|
1140|	Pichincha |
1141|	Guayas|
1141|	Guayaquil |
1142|	Pichincha|
1142|	Quito |
1143|	Galápagos|
1143|	Puerto Ayora|
1144|	Galápagos|
1144|	Puerto Ayora|
1144|	Puerto Baquerizo Moreno |
1145|	Chimborazo|
1145|	Riobamba|
1146|	Pichincha|
1146|	Quito |
1147|	Pichincha|
1147|	Quito |
1148|	Imbabura|
1148|	Otavalo|
1149|	Pichincha|
1149|	Quito |
1150|	Napo|
1150|	Tena|
1151|	Galápagos|
1151|	Puerto Baquerizo Moreno |
1152|	Napo|
1152|	Tungurahua|
1152|	Cavernas de Jumandy|
1152|	Archidona|
1152|	Baños|
1153|	Azuay|
1153|	Cuenca|
1154|	Esmeraldas|
1154|	Esmeraldas(Ciudad)|
1155|	Galápagos|
1155|	Puerto Ayora|
1155|	Puerto Villamil|
1156|	Guayas|
1156|	Guayaquil |
1157|	Guayas|
1157|	Guayaquil |
1158|	Pichincha|
1158|	Quito |
1159|	Pichincha|
1159|	Cayambe|
1160|	Pichincha|
1160|	Quito |
1161|	Imbabura|
1161|	Pichincha|
1161|	Ibarra|
1161|	Cayambe|
1162|	Galápagos|
1162|	Puerto Ayora|
1162|	Puerto Baquerizo Moreno |
1162|	Puerto Villamil|
1163|	Azuay|
1163|	Cuenca|
1164|	Sucumbíos|
1164|	Nueva Loja|
1165|	Napo|
1165|	Archidona|
1165|	Tena|
1166|	Napo|
1166|	Tena|
1167|	Napo|
1167|	Pichincha|
1167|	Tena|
1167|	Quito |
1168|	Azuay|
1168|	Cuenca|
1169|	Tungurahua|
1169|	Ambato|
1169|	Baños|
1170|	Imbabura|
1170|	Otavalo|
1171|	Imbabura|
1171|	Ibarra|
1172|	Pichincha|
1172|	Quito |
1173|	Pichincha|
1173|	Quito |
1174|	Azuay|
1174|	Cañar|
1174|	CATEDRAL DE CUENCA|
1174|	PARQUE NACIONAL DE CAJAS|
1174|	Cuenca|
1174|	Gualaceo|
1175|	Pichincha|
1175|	San Miguel De Los Bancos|
1175|	Bosque Nublado de Mindo Nambillo|
1176|	Azuay|
1176|	Cuenca|
1177|	Zamora Chinchipe|
1177|	Guayas|
1177|	Loja|
1177|	Guayaquil |
1177|	Saraguro|
1177|	Zamora|
1178|	Esmeraldas|
1178|	Esmeraldas(Ciudad)|
1179|	Guayas|
1179|	Tungurahua|
1179|	Guayaquil |
1179|	Ambato|
1180|	Manabí|
1180|	Manta |
1181|	Galápagos|
1181|	Guayas|
1181|	Islas Galápagos|
1181|	Puerto Ayora|
1181|	Guayaquil |
1182|	Galápagos|
1182|	Puerto Ayora|
1183|	Imbabura|
1183|	Pichincha|
1183|	Otavalo|
1183|	Quito |
1184|	Guayas|
1184|	Guayaquil |
1185|	Galápagos|
1185|	Puerto Ayora|
1186|	Pichincha|
1186|	Quito |
1187|	Esmeraldas|
1187|	Playa Atacames|
1187|	Esmeraldas(Ciudad)|
1188|	Napo|
1188|	Tena|
1189|	Napo|
1189|	Tena|
1190|	Napo|
1190|	Tena|
1191|	Napo|
1191|	Cavernas de Jumandy|
1191|	Tena|
1192|	Napo|
1192|	Tena|
1193|	Napo|
1193|	Tena|
1194|	Manabí|
1194|	Pichincha|
1194|	Pedernales|
1194|	Quito |
1195|	Galápagos|
1195|	Puerto Ayora|
1195|	Puerto Villamil|
1196|	Pichincha|
1196|	Quito |
1197|	Galápagos|
1197|	Islas Galápagos|
1197|	Puerto Ayora|
1198|	Galápagos|
1198|	Estación Científica Charles Darwin|
1198|	Puerto Ayora|
1199|	Galápagos|
1199|	Estación Científica Charles Darwin|
1199|	Puerto Ayora|
1200|	Loja|
1201|	Pichincha|
1201|	Quito |
1202|	Guayas|
1202|	Guayaquil |
1203|	Guayas|
1203|	Guayaquil |
1203|	Naranjal|
1204|	Guayas|
1204|	Guayaquil |
1205|	Guayas|
1205|	Guayaquil |
1206|	Guayas|
1206|	Guayaquil |
1207|	Guayas|
1207|	Guayaquil |
1208|	Loja|
1209|	Bolívar|
1209|	Santa Elena|
1209|	Guaranda |
1209|	Salinas|
1210|	Cotopaxi|
1210|	Latacunga|
1211|	Azuay|
1211|	Cañar|
1211|	Cuenca|
1211|	Gualaceo|
1211|	Azogues|
1212|	Cotopaxi|
1212|	Pichincha|
1212|	Parque Nacional Cotopaxi |
1212|	Latacunga|
1212|	Quito |
1212|	Laguna de Quilotoa|
1213|	Pichincha|
1213|	Quito |
1214|	Guayas|
1214|	Guayaquil |
1215|	Pichincha|
1215|	Quito |
1216|	Orellana|
1216|	Pichincha|
1216|	Puerto Francisco De Orellana|
1216|	Quito |
1217|	Pichincha|
1217|	Quito |
1218|	Orellana|
1218|	Sucumbíos|
1218|	Puerto Francisco De Orellana|
1218|	Shushufindi|
1219|	Pichincha|
1219|	Machachi|
1220|	Galápagos|
1220|	Estación Científica Charles Darwin|
1220|	Puerto Ayora|
1221|	Imbabura|
1221|	Cotacachi|
1221|	Otavalo|
1222|	Napo|
1222|	Archidona|
1223|	Napo|
1223|	Puerto Misahuallí|
1223|	Archidona|
1223|	Tena|
1224|	Napo|
1224|	Archidona|
1225|	Napo|
1225|	Cavernas de Jumandy|
1225|	Archidona|
1225|	Tena|
1226|	Napo|
1226|	Archidona|
1227|	Napo|
1227|	Archidona|
1227|	Tena|
1228|	Napo|
1228|	Archidona|
1229|	Bolívar|
1229|	Guaranda |
1230|	Tungurahua|
1230|	Baños|
1231|	Pastaza|
1231|	Puyo|
1232|	Galápagos|
1232|	Puerto Ayora|
1233|	Napo|
1233|	Puerto Misahuallí|
1233|	Archidona|
1233|	Tena|
1234|	Tungurahua|
1234|	Baños|
1235|	Napo|
1235|	Puerto Misahuallí|
1235|	Cavernas de Jumandy|
1235|	Archidona|
1235|	Tena|
1236|	Napo|
1236|	Cavernas de Jumandy|
1236|	Archidona|
1236|	Tena|
1237|	Tungurahua|
1237|	Baños|
1238|	Sucumbíos|
1238|	Shushufindi|
1239|	Napo|
1239|	Tena|
1240|	Tungurahua|
1240|	Baños|
1241|	Tungurahua|
1241|	Baños|
1242|	Galápagos|
1242|	Puerto Baquerizo Moreno |
1243|	Chimborazo|
1243|	Alausí|
