CONCAT(pck.id, '|')	CONCAT(plz.name, '|')
1137|	Castilla - León|
1137|	Ávila|
1137|	Segovia|
1138|	Castilla - La Mancha|
1138|	Toledo|
1139|	Madrid|
1140|	Andalucía|
1140|	Córdoba|
1140|	Sevilla|
1141|	Andalucía|
1141|	Granada|
1142|	Andalucía|
1142|	Sevilla|
1143|	Andalucía|
1143|	Málaga|
1144|	Cataluña|
1144|	Barcelona|
1145|	País Vasco|
1145|	San Sebastián|
1146|	País Vasco|
1146|	Bilbao|
1147|	Madrid|
1148|	Andalucía|
1148|	Córdoba|
1150|	Cataluña|
1150|	Barcelona|
1151|	Cataluña|
1151|	Barcelona|
1152|	Andalucía|
1152|	Sevilla|
1153|	Andalucía|
1153|	Málaga|
1154|	Andalucía|
1154|	Islas Baleares|
1154|	Valencia|
1154|	Málaga|
1154|	Palma de Mallorca|
1155|	Galicia|
1155|	La Coruña|
1155|	Catedral de Santiago de Compostela|
1156|	Aragón|
1156|	Cataluña|
1156|	Valencia|
1156|	Zaragoza|
1156|	Barcelona|
1157|	Andalucía|
1157|	Castilla - La Mancha|
1157|	Extremadura|
1157|	Madrid|
1157|	Córdoba|
1157|	Granada|
1157|	Sevilla|
1157|	Toledo|
1157|	Cáceres|
1158|	Andalucía|
1158|	Granada|
1158|	Málaga|
1159|	Madrid|
1160|	Madrid|
1161|	Valencia|
1162|	Islas Baleares|
1162|	Palma de Mallorca|
1163|	Madrid|
1164|	Cataluña|
1164|	Barcelona|
1165|	Valencia|
1166|	Madrid|
1167|	Madrid|
1168|	Castilla - La Mancha|
1168|	Castilla - León|
1168|	Madrid|
1168|	Ávila|
1168|	Toledo|
1168|	Segovia|
1169|	Galicia|
1169|	Lugo|
1170|	Galicia|
1170|	La Coruña|
1171|	Extremadura|
1171|	Badajoz|
1172|	Navarra|
1172|	Pamplona|
1173|	Madrid|
1174|	Castilla - León|
1174|	León|
1175|	Castilla - León|
1175|	Salamanca|
1176|	Cataluña|
1176|	Barcelona|
1177|	Andalucía|
1177|	Málaga|
1178|	Castilla - León|
1178|	Segovia|
1179|	Valencia|
1179|	Peníscola|
1179|	Castellón de la Plana|
1180|	Andalucía|
1180|	Sevilla|
1181|	Cataluña|
1181|	Alp|
1181|	Puigcerdá|
1181|	Gerona|
1182|	Extremadura|
1182|	Badajoz|
1183|	País Vasco|
1183|	Bilbao|
1184|	Castilla - León|
1184|	Astorga|
1184|	Ponferrada|
1184|	León|
1184|	Camino de Santiago|
1185|	Castilla - León|
1185|	Salamanca|
1186|	Castilla - La Mancha|
1186|	Daimiel|
1186|	Ciudad Real|
1187|	Andalucía|
1187|	Madrid|
1187|	Sevilla|
1188|	Cataluña|
1188|	Barcelona|
1188|	Gerona|
1189|	Cataluña|
1189|	Barcelona|
1190|	Valencia|
1191|	Castilla - La Mancha|
1191|	Castilla - León|
1191|	Ávila|
1191|	Toledo|
1191|	Segovia|
1192|	Extremadura|
1192|	Badajoz|
1193|	Andalucía|
1193|	Córdoba|
1194|	Andalucía|
1194|	Córdoba|
1195|	Andalucía|
1195|	Sevilla|
1196|	Andalucía|
1196|	Cádiz|
1197|	Cantabria|
1197|	Santander|
1198|	Andalucía|
1198|	Cádiz|
1200|	Cataluña|
1200|	Madrid|
1200|	Barcelona|
1201|	Andalucía|
1201|	Jaén|
1202|	País Vasco|
1202|	San Sebastián|
1203|	Madrid|
1204|	Cataluña|
1204|	Barcelona|
1205|	Andalucía|
1205|	Cataluña|
1205|	Madrid|
1205|	Sevilla|
1205|	Barcelona|
1206|	Castilla - León|
1206|	Valladolid|
1207|	Castilla - León|
1207|	Soria|
1208|	Madrid|
1209|	Castilla - León|
1209|	Ávila|
1209|	Segovia|
1210|	Madrid|
1211|	Madrid|
1212|	Castilla - La Mancha|
1212|	Toledo|
1213|	Madrid|
1214|	Andalucía|
1214|	Málaga|
1215|	Cataluña|
1215|	Barcelona|
1216|	Islas Baleares|
1216|	Palma de Mallorca|
1217|	Islas Baleares|
1217|	Palma de Mallorca|
1218|	Islas Baleares|
1218|	Palma de Mallorca|
1219|	Islas Baleares|
1219|	Palma de Mallorca|
1220|	Cataluña|
1220|	Barcelona|
1221|	Islas Baleares|
1221|	Palma de Mallorca|
1222|	Islas Baleares|
1222|	Palma de Mallorca|
1223|	Islas Baleares|
1223|	Palma de Mallorca|
1224|	Islas Baleares|
1224|	Palma de Mallorca|
1226|	Islas Baleares|
1226|	Palma de Mallorca|
1227|	Islas Baleares|
1227|	Palma de Mallorca|
1228|	Islas Baleares|
1228|	Palma de Mallorca|
1229|	Extremadura|
1229|	Badajoz|
1230|	Madrid|
1231|	Islas Baleares|
1231|	Palma de Mallorca|
1232|	Cataluña|
1232|	Madrid|
1232|	Valencia|
1232|	Barcelona|
1233|	Andalucía|
1233|	Cataluña|
1233|	Madrid|
1233|	Valencia|
1233|	Córdoba|
1233|	Granada|
1233|	Sevilla|
1233|	Barcelona|
1234|	Castilla - La Mancha|
1234|	Madrid|
1234|	Toledo|
1235|	Aragón|
1235|	Castilla - León|
1235|	Galicia|
1235|	Madrid|
1235|	País Vasco|
1235|	Zaragoza|
1235|	Salamanca|
1235|	La Coruña|
1235|	San Sebastián|
1235|	Bilbao|
1236|	Andalucía|
1236|	Madrid|
1236|	Córdoba|
1236|	Granada|
1236|	Sevilla|
1237|	Andalucía|
