CONCAT(pck.id, '|')	CONCAT(plz.name, '|')
2050|	Ciudad De México|
2051|	Baja California Sur|
2051|	Cabo San Lucas|
2052|	Quintana Roo|
2052|	Cancún|
2053|	Quintana Roo|
2053|	Cancún|
2054|	Ciudad De México|
2055|	Baja California Sur|
2055|	Cabo San Lucas|
2056|	Guanajuato|
2057|	Ciudad De México|
2057|	Guerrero|
2057|	Morelos|
2057|	Taxco de Alarcón|
2057|	Cuernavaca|
2058|	Ciudad De México|
2058|	Puebla|
2058|	San Andrés Cholula|
2058|	San Pedro Cholula|
2059|	Chiapas|
2059|	Comitán de Domínguez|
2059|	Palenque|
2059|	San Cristóbal de las Casas|
2059|	Tapachula de Córdova y Ordóñez|
2059|	Tuxtla Gutiérrez|
2060|	San Luis Potosí|
2060|	El Naranjo|
2061|	Campeche|
2061|	San Francisco de Campeche|
2062|	Jalisco|
2062|	Guadalajara|
2062|	Tequila|
2063|	Michoacán De Ocampo|
2063|	Mineral De Angangueo|
2063|	Morelia|
2064|	Chiapas|
2064|	Chiapa de Corzo|
2064|	San Cristóbal de las Casas|
2065|	Chiapas|
2065|	San Cristóbal de las Casas|
2066|	Chiapas|
2066|	Palenque|
2066|	San Cristóbal de las Casas|
2067|	Chiapas|
2067|	San Cristóbal de las Casas|
2068|	Yucatán|
2068|	Mérida|
2069|	Quintana Roo|
2069|	Cancún|
2070|	Yucatán|
2070|	Mérida|
2071|	Yucatán|
2071|	Mérida|
2072|	Yucatán|
2072|	Mérida|
2073|	Quintana Roo|
2073|	Cancún|
2073|	Isla Mujeres|
2073|	Playa del Carmen|
2074|	San Luis Potosí|
2074|	Ciudad Valles|
2075|	Durango|
2075|	Nombre de Dios|
2076|	Michoacán De Ocampo|
2076|	Morelia|
2078|	Durango|
2078|	Victoria de Durango|
2079|	Durango|
2079|	Los Berros|
2079|	El Saltito|
2079|	Nombre De Dios|
2079|	La Constancia|
2079|	Victoria de Durango|
2080|	Jalisco|
2080|	Tlaquepaque|
2080|	Tequila|
2081|	Campeche|
2081|	San Francisco de Campeche|
2082|	Querétaro|
2083|	San Luis Potosí|
2083|	Ciudad Valles|
2084|	México|
2084|	Toluca de Lerdo|
2085|	Querétaro|
2086|	Chiapas|
2086|	Oaxaca|
2086|	Puebla|
2086|	Tabasco|
2086|	Chiapa de Corzo|
2086|	Palenque|
2086|	San Cristóbal de las Casas|
2086|	Santo Domingo Tehuantepec|
2086|	Villahermosa|
2087|	Querétaro|
2089|	Quintana Roo|
2089|	Cancún|
2090|	San Luis Potosí|
2090|	Ciudad Valles|
2090|	Tamasopo|
2091|	Oaxaca|
2091|	Huatulco|
2092|	Oaxaca|
2092|	Santa María Huatulco|
2092|	Huatulco|
2093|	Oaxaca|
2093|	Huatulco|
2094|	Oaxaca|
2094|	Huatulco|
2095|	Quintana Roo|
2095|	Yucatán|
2095|	Cancún|
2095|	Playa del Carmen|
2095|	Valladolid|
2096|	México|
2096|	Toluca de Lerdo|
2096|	Valle de Bravo|
2097|	Quintana Roo|
2097|	Cancún|
2097|	Playa del Carmen|
2098|	Oaxaca|
2098|	Huatulco|
2099|	Oaxaca|
2099|	Huatulco|
2100|	Oaxaca|
2100|	Huatulco|
2102|	Morelos|
2102|	Cuernavaca|
2103|	Quintana Roo|
2103|	Cancún|
2103|	Playa del Carmen|
2104|	Quintana Roo|
2104|	Cancún|
2105|	Querétaro|
2105|	Tequisquiapan|
2106|	Guanajuato|
2106|	San miguel de Allende|
2107|	Ciudad De México|
2107|	México|
2107|	San Juan Teotihuacan |
2108|	México|
2108|	Aculco|
2109|	Ciudad De México|
2109|	Puebla|
2110|	Ciudad De México|
2110|	Querétaro|
2111|	Ciudad De México|
2111|	México|
2111|	Valle de Bravo|
2112|	Ciudad De México|
2112|	Guanajuato|
2112|	Dolores Hidalgo Cuna De La Independencia Nacional|
2112|	Puebla|
2112|	Querétaro|
2112|	Dolores Hidalgo|
2112|	San miguel de Allende|
2113|	Quintana Roo|
2113|	Cancún|
2113|	Playa del Carmen|
2114|	Quintana Roo|
2114|	Cancún|
2115|	Oaxaca|
2116|	Quintana Roo|
2116|	Cancún|
2116|	Playa del Carmen|
2117|	Quintana Roo|
2117|	Cancún|
2117|	Playa del Carmen|
2118|	Quintana Roo|
2118|	Cancún|
2118|	Isla Mujeres|
2118|	Playa del Carmen|
2119|	Quintana Roo|
2119|	Cancún|
2119|	Playa del Carmen|
2120|	Oaxaca|
2121|	México|
2121|	Metepec|
2121|	Toluca de Lerdo|
2122|	Oaxaca|
2123|	Oaxaca|
2124|	Ciudad De México|
2124|	México|
2124|	Morelos|
2124|	Cuernavaca|
2124|	Malinalco|
2125|	Ciudad De México|
2125|	Querétaro|
2126|	Ciudad De México|
2126|	México|
2126|	Puebla|
2126|	Toluca de Lerdo|
2127|	México|
2127|	Puebla|
2127|	Toluca de Lerdo|
2128|	Ciudad De México|
2128|	México|
2128|	Toluca de Lerdo|
2129|	Ciudad De México|
2129|	México|
2129|	Toluca de Lerdo|
2130|	Ciudad De México|
2130|	Puebla|
2131|	Ciudad De México|
2131|	Veracruz De Ignacio De La Llave|
2131|	Veracruz|
2132|	Ciudad De México|
2132|	Tlaxcala|
2132|	Tlaxcala (Tlaxcala de Xicotencatl)|
2133|	Ciudad De México|
2133|	Morelos|
2133|	Tepoztlán|
2134|	Ciudad De México|
2135|	Ciudad De México|
2135|	Guerrero|
2135|	San Jerónimo de Juárez|
2136|	Ciudad De México|
2136|	Morelos|
2136|	Tepoztlán|
2137|	Ciudad De México|
2137|	Tlaxcala|
2137|	Tlaxcala (Tlaxcala de Xicotencatl)|
2138|	Ciudad De México|
2139|	Ciudad De México|
2139|	Guerrero|
2139|	Taxco de Alarcón|
2140|	México|
2140|	Valle de Bravo|
2141|	México|
2141|	Valle de Bravo|
2142|	Quintana Roo|
2142|	Cancún|
2142|	Playa del Carmen|
2143|	Quintana Roo|
2143|	Cancún|
2143|	Playa del Carmen|
2144|	Quintana Roo|
2144|	Cancún|
2144|	Playa del Carmen|
2145|	Ciudad De México|
2145|	Guanajuato|
2145|	San miguel de Allende|
2146|	Quintana Roo|
2146|	Cancún|
2146|	Playa del Carmen|
2147|	Oaxaca|
2147|	Puerto Escondido|
2148|	Oaxaca|
2148|	San José de Manialtepec|
2149|	Oaxaca|
2149|	Chacahua|
2150|	Oaxaca|
2150|	Huatulco|
2151|	Oaxaca|
2151|	Huatulco|
2152|	Oaxaca|
2152|	Huatulco|
2153|	Quintana Roo|
2153|	Chetumal|
2154|	Puebla|
2154|	San Pedro Cholula|
2155|	Querétaro|
2155|	Peña de Bernal|
2156|	Querétaro|
2156|	Peña de Bernal|
2157|	Ciudad De México|
2157|	México|
2157|	San Juan Teotihuacan |
2158|	Ciudad De México|
2158|	México|
2158|	San Juan Teotihuacan |
2159|	Hidalgo|
2159|	Tolantongo|
2160|	Ciudad De México|
2161|	Guerrero|
2161|	Taxco de Alarcón|
2161|	Cacahuamilpa|
2162|	Ciudad De México|
2162|	México|
2162|	Toluca de Lerdo|
2162|	Tenancingo de Degollado|
2163|	Jalisco|
2163|	Puerto Vallarta|
2164|	Quintana Roo|
2164|	Cancún|
2165|	Quintana Roo|
2165|	Cancún|
2166|	Campeche|
2166|	Chiapas|
2166|	Quintana Roo|
2166|	Yucatán|
2166|	San Francisco de Campeche|
2166|	Chiapa de Corzo|
2166|	Palenque|
2166|	San Cristóbal de las Casas|
2166|	Cancún|
2166|	Mérida|
2167|	Ciudad De México|
2168|	Ciudad De México|
2168|	México|
2168|	Valle de Bravo|
2169|	Quintana Roo|
2169|	Yucatán|
2169|	Cancún|
2169|	Valladolid|
2170|	Quintana Roo|
2170|	Yucatán|
2170|	Cancún|
2170|	Mérida|
2171|	Quintana Roo|
2171|	Playa del Carmen|
2172|	Quintana Roo|
2172|	Cancún|
2172|	Cozumel|
2173|	Ciudad De México|
2173|	México|
2173|	San Juan Teotihuacan |
2174|	Ciudad De México|
2174|	Xochimilco|
2175|	Ciudad De México|
2176|	Ciudad De México|
2177|	Ciudad De México|
2177|	México|
2177|	San Juan Teotihuacan |
2178|	Ciudad De México|
2179|	Ciudad De México|
2179|	México|
2179|	San Juan Teotihuacan |
2180|	Quintana Roo|
2180|	Playa del Carmen|
2181|	Quintana Roo|
2181|	Playa del Carmen|
2182|	Quintana Roo|
2182|	Playa del Carmen|
2183|	Quintana Roo|
2183|	Playa del Carmen|
2184|	Quintana Roo|
2184|	Playa del Carmen|
2185|	Quintana Roo|
2185|	Playa del Carmen|
2186|	Quintana Roo|
2186|	Playa del Carmen|
2187|	Ciudad De México|
2188|	Querétaro|
2188|	Peña de Bernal|
2189|	Ciudad De México|
2190|	Ciudad De México|
2191|	Ciudad De México|
2192|	Querétaro|
2192|	Peña de Bernal|
2193|	Ciudad De México|
2193|	México|
2193|	San Juan Teotihuacan |
2194|	Veracruz De Ignacio De La Llave|
2194|	Veracruz|
2195|	México|
2195|	San Juan Teotihuacan |
2196|	Veracruz De Ignacio De La Llave|
2196|	Catemaco|
2196|	Veracruz|
2197|	México|
2197|	San Juan Teotihuacan |
2198|	Ciudad De México|
2198|	México|
2198|	San Juan Teotihuacan |
2199|	Nuevo León|
2199|	Monterrey|
2200|	Puebla|
2200|	San Pedro Cholula|
2201|	Guerrero|
2201|	Morelos|
2201|	Taxco de Alarcón|
2201|	Cuernavaca|
2202|	Chiapas|
2202|	Palenque|
2202|	San Cristóbal de las Casas|
2203|	Nuevo León|
2203|	Monterrey|
2203|	Santiago|
2204|	Hidalgo|
2204|	Pachuca de Soto|
2205|	Ciudad De México|
2205|	Guanajuato|
2205|	San miguel de Allende|
2206|	Puebla|
2206|	San Andrés Cholula|
2207|	México|
2207|	San Juan Teotihuacan |
2208|	Veracruz De Ignacio De La Llave|
2208|	Catemaco|
2208|	Santiago Tuxtla|
2209|	Veracruz De Ignacio De La Llave|
2209|	Papantla de Olarte|
2209|	Veracruz|
2210|	Veracruz De Ignacio De La Llave|
2210|	Córdoba|
2210|	Fortín de las Flores|
2210|	Orizaba|
2211|	Nuevo León|
2211|	García|
2212|	Ciudad De México|
2212|	México|
2212|	San Juan Teotihuacan |
2213|	San Luis Potosí|
2213|	Ciudad Valles|
2214|	Nuevo León|
2214|	Monterrey|
2214|	Santiago|
2215|	Ciudad De México|
2216|	Veracruz De Ignacio De La Llave|
2216|	Coatepec|
2216|	Veracruz|
2216|	Xalapa-Enríquez|
2217|	Nuevo León|
2217|	Monterrey|
2218|	Sonora|
2218|	Hermosillo|
2218|	San Carlos|
2219|	Ciudad De México|
2220|	Ciudad De México|
2221|	Ciudad De México|
2221|	Puebla|
2222|	Veracruz De Ignacio De La Llave|
2222|	José Cardel|
2222|	Veracruz|
2222|	Cempoala|
2223|	Chiapas|
2223|	San Cristóbal de las Casas|
2223|	Tuxtla Gutiérrez|
2224|	Nayarit|
2224|	San Blas|
2225|	Ciudad De México|
2225|	México|
2225|	San Juan Teotihuacan |
2226|	Ciudad De México|
2227|	Ciudad De México|
2228|	Ciudad De México|
2228|	Xochimilco|
2229|	Ciudad De México|
