CONCAT(pck.id, '|')	CONCAT(plz.name, '|')
103|	Chachapoyas|
462|	Chachapoyas|
463|	Chachapoyas|
465|	Chachapoyas|
613|	Chachapoyas|
657|	Chachapoyas|
789|	Chachapoyas|
790|	Chachapoyas|
807|	Chachapoyas|
830|	Chachapoyas|
837|	Chachapoyas|
838|	Chachapoyas|
1106|	Chachapoyas|
1119|	Chachapoyas|
1271|	Chachapoyas|
1273|	Chachapoyas|
1274|	Chachapoyas|
1275|	Chachapoyas|
1282|	Chachapoyas|
1334|	Chachapoyas|
1368|	Chachapoyas|
1440|	Chachapoyas|
1663|	Chachapoyas|
1960|	Chachapoyas|
1961|	Chachapoyas|
1962|	Chachapoyas|
1963|	Chachapoyas|
2092|	Chachapoyas|
2124|	Chachapoyas|
2217|	Chachapoyas|
2237|	Chachapoyas|
2239|	Chachapoyas|
2246|	Chachapoyas|
2247|	Chachapoyas|
2248|	Chachapoyas|
2255|	Chachapoyas|
2256|	Chachapoyas|
2262|	Chachapoyas|
2263|	Chachapoyas|
2297|	Chachapoyas|
2298|	Chachapoyas|
2299|	Chachapoyas|
2309|	Chachapoyas|
2310|	Chachapoyas|
2311|	Chachapoyas|
2312|	Chachapoyas|
3005|	Chachapoyas|
3268|	Chachapoyas|
3270|	Chachapoyas|
3377|	Chachapoyas|
3378|	Chachapoyas|
3474|	Chachapoyas|
3592|	Chachapoyas|
3614|	Chachapoyas|
3779|	Chachapoyas|
3810|	Chachapoyas|
3817|	Chachapoyas|
3863|	Chachapoyas|
3864|	Chachapoyas|
3900|	Chachapoyas|
3901|	Chachapoyas|
3928|	Chachapoyas|
3929|	Chachapoyas|
3972|	Chachapoyas|
3974|	Chachapoyas|
3975|	Chachapoyas|
4007|	Chachapoyas|
4084|	Chachapoyas|
4115|	Chachapoyas|
4241|	Chachapoyas|
4336|	Chachapoyas|
4342|	Chachapoyas|
4384|	Chachapoyas|
4565|	Chachapoyas|
4699|	Chachapoyas|
4701|	Chachapoyas|
4862|	Chachapoyas|
4895|	Chachapoyas|
4997|	Chachapoyas|
5065|	Chachapoyas|
5066|	Chachapoyas|
5067|	Chachapoyas|
5068|	Chachapoyas|
5082|	Chachapoyas|
5083|	Chachapoyas|
5153|	Chachapoyas|
5163|	Chachapoyas|
5167|	Chachapoyas|
5168|	Chachapoyas|
5175|	Chachapoyas|
5177|	Chachapoyas|
5196|	Chachapoyas|
5236|	Chachapoyas|
5240|	Chachapoyas|
5242|	Chachapoyas|
5294|	Chachapoyas|
5299|	Chachapoyas|
5301|	Chachapoyas|
5302|	Chachapoyas|
5311|	Chachapoyas|
5315|	Chachapoyas|
5316|	Chachapoyas|
5319|	Chachapoyas|
5320|	Chachapoyas|
5334|	Chachapoyas|
5338|	Chachapoyas|
5512|	Chachapoyas|
5553|	Chachapoyas|
5574|	Chachapoyas|
5590|	Chachapoyas|
5753|	Chachapoyas|
5756|	Chachapoyas|
5757|	Chachapoyas|
5758|	Chachapoyas|
5759|	Chachapoyas|
6133|	Chachapoyas|
6135|	Chachapoyas|
6248|	Chachapoyas|
6250|	Chachapoyas|
6251|	Chachapoyas|
6267|	Chachapoyas|
6268|	Chachapoyas|
6305|	Chachapoyas|
6306|	Chachapoyas|
6307|	Chachapoyas|
6713|	Chachapoyas|
6714|	Chachapoyas|
6715|	Chachapoyas|
6717|	Chachapoyas|
6718|	Chachapoyas|
6719|	Chachapoyas|
6720|	Chachapoyas|
6721|	Chachapoyas|
6941|	Chachapoyas|
790|	Lámud|
1056|	Chacas|
1443|	Chiquián|
547|	Carhuaz|
871|	Carhuaz|
1055|	Carhuaz|
1874|	Carhuaz|
1990|	Carhuaz|
2178|	Carhuaz|
2403|	Carhuaz|
2514|	Carhuaz|
2519|	Carhuaz|
2590|	Carhuaz|
2849|	Carhuaz|
2895|	Carhuaz|
2912|	Carhuaz|
2999|	Carhuaz|
3111|	Carhuaz|
3170|	Carhuaz|
4008|	Carhuaz|
4136|	Carhuaz|
5178|	Carhuaz|
5249|	Carhuaz|
5328|	Carhuaz|
5329|	Carhuaz|
6070|	Carhuaz|
6071|	Carhuaz|
6617|	Carhuaz|
3111|	San Luis|
1439|	Casma|
1680|	Casma|
5473|	Casma|
5474|	Casma|
5482|	Casma|
6104|	Casma|
6561|	Casma|
13|	Huaraz|
66|	Huaraz|
98|	Huaraz|
159|	Huaraz|
215|	Huaraz|
217|	Huaraz|
218|	Huaraz|
220|	Huaraz|
328|	Huaraz|
410|	Huaraz|
424|	Huaraz|
427|	Huaraz|
428|	Huaraz|
568|	Huaraz|
574|	Huaraz|
602|	Huaraz|
621|	Huaraz|
622|	Huaraz|
682|	Huaraz|
841|	Huaraz|
842|	Huaraz|
843|	Huaraz|
871|	Huaraz|
872|	Huaraz|
873|	Huaraz|
874|	Huaraz|
897|	Huaraz|
970|	Huaraz|
980|	Huaraz|
1000|	Huaraz|
1001|	Huaraz|
1008|	Huaraz|
1024|	Huaraz|
1044|	Huaraz|
1054|	Huaraz|
1055|	Huaraz|
1056|	Huaraz|
1066|	Huaraz|
1070|	Huaraz|
1101|	Huaraz|
1154|	Huaraz|
1160|	Huaraz|
1173|	Huaraz|
1174|	Huaraz|
1183|	Huaraz|
1256|	Huaraz|
1277|	Huaraz|
1279|	Huaraz|
1370|	Huaraz|
1427|	Huaraz|
1434|	Huaraz|
1443|	Huaraz|
1569|	Huaraz|
1665|	Huaraz|
1666|	Huaraz|
1699|	Huaraz|
1700|	Huaraz|
1701|	Huaraz|
1702|	Huaraz|
1706|	Huaraz|
1762|	Huaraz|
1763|	Huaraz|
1805|	Huaraz|
1822|	Huaraz|
1849|	Huaraz|
1869|	Huaraz|
1874|	Huaraz|
1884|	Huaraz|
1904|	Huaraz|
1964|	Huaraz|
2086|	Huaraz|
2087|	Huaraz|
2088|	Huaraz|
2089|	Huaraz|
2121|	Huaraz|
2178|	Huaraz|
2183|	Huaraz|
2336|	Huaraz|
2337|	Huaraz|
2343|	Huaraz|
2344|	Huaraz|
2403|	Huaraz|
2427|	Huaraz|
2484|	Huaraz|
2486|	Huaraz|
2487|	Huaraz|
2488|	Huaraz|
2489|	Huaraz|
2494|	Huaraz|
2500|	Huaraz|
2501|	Huaraz|
2514|	Huaraz|
2519|	Huaraz|
2571|	Huaraz|
2572|	Huaraz|
2573|	Huaraz|
2590|	Huaraz|
2660|	Huaraz|
2736|	Huaraz|
2823|	Huaraz|
2849|	Huaraz|
2912|	Huaraz|
2913|	Huaraz|
2916|	Huaraz|
2997|	Huaraz|
2999|	Huaraz|
3003|	Huaraz|
3063|	Huaraz|
3102|	Huaraz|
3103|	Huaraz|
3111|	Huaraz|
3259|	Huaraz|
3579|	Huaraz|
3601|	Huaraz|
3644|	Huaraz|
3661|	Huaraz|
3713|	Huaraz|
